n	kind	id	overlap	skip	aodl	name	url	note	overlap_keyword
001	paper	2604.11767	high	0	V|E|adapter	$λ_A$: A Typed Lambda Calculus for LLM Agent Composition	https://arxiv.org/abs/2604.11767	intra-node calculus; keep	med
002	paper	2605.03143	high	0	V|E	Pact: A Choreographic Language for Agentic Ecosystems	https://arxiv.org/abs/2605.03143	choreography / message profile	med
003	paper	2510.24205	high	0	V|E	CoMPSeT: A Framework for Comparing Multiparty Session Types	https://arxiv.org/abs/2510.24205	MPST compare; optional message profile	med
004	paper	2603.06007	high	0	V|E|Pi|Gamma	MASFactory: A Graph-centric Framework for Orchestrating LLM-Based Multi-Agent Systems with Vibe Graphing	https://arxiv.org/abs/2603.06007		high
005	paper	2602.16873	high	0	V|E|Pi	AdaptOrch: Task-Adaptive Multi-Agent Orchestration in the Era of LLM Performance Convergence	https://arxiv.org/abs/2602.16873	topology > model	med
006	paper	2602.07072	high	0	V|E|S	AgentSpawn: Adaptive Multi-Agent Collaboration Through Dynamic Spawning for Long-Horizon Code Generation	https://arxiv.org/abs/2602.07072	bounded spawn	med
007	paper	2510.18893	high	0	V|E|S	CodeCRDT: Observation-Driven Coordination for Multi-Agent LLM Code Generation	https://arxiv.org/abs/2510.18893	observation / CRDT ≠ verify	med
008	paper	2605.01879	high	0	V|S	Sheaf-Theoretic Planning: A Categorical Foundation for Resilient Multi-Agent Autonomous Systems	https://arxiv.org/abs/2605.01879	sheaf reading of three objects	med
009	paper	2512.24601	high	0	S|Pi	Recursive Language Models	https://arxiv.org/abs/2512.24601	keyword miss; RLM is the slice claim	low
010	paper	2608.09096	high	0	V|E|S|Pi	Evo-Bench: Can Language Models Improve Agent Harness?	https://arxiv.org/abs/2608.09096		high
011	paper	2606.19812	high	0	V|E|Pi|Gamma	Human-on-the-Loop Orchestration for AI-Assisted Legal Discovery	https://arxiv.org/abs/2606.19812		high
012	paper	2606.08919	high	0	V|Pi|Gamma	Oversight Has a Capacity: Calibrating Agent Guards to a Subjective, Fatiguing Human	https://arxiv.org/abs/2606.08919	human-attention budget in Gamma	med
013	paper	2603.07532	low	1	none	Quantum Minimal Learning Machine: A Fidelity-Based Approach to Error Mitigation	https://arxiv.org/abs/2603.07532		low
014	paper	2607.26429	med	0	E|S	NMKFR: A Robust Framework for Time-Aware Cold-Start Recommendation	https://arxiv.org/abs/2607.26429		med
015	paper	2601.00867	med	0	V|E|S	The Silicon Psyche: Anthropomorphic Vulnerabilities in Large Language Models	https://arxiv.org/abs/2601.00867		med
016	paper	2603.03195	med	0	V|E	Chain of World: World Model Thinking in Latent Motion	https://arxiv.org/abs/2603.03195		med
